FECHA,PASAJEROS
Apr-2020,49238
Aug-2019,9973601
Aug-2020,999824
Dec-2019,12381786
Dec-2020,5795808
Feb-2020,8780123
Jan-2020,11249606
Jul-2020,771562
Jun-2020,470228
Mar-2020,5381179
May-2020,185003
Nov-2019,9533070
Nov-2020,4400024
Oct-2019,10544209
Oct-2020,4265467
Sep-2019,9358196
Sep-2020,3082780
